Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1277,Poland,SOWR46,PL46,12220,0-20000-0-12220,plswi,Świdwin,1,53.7958,15.8368,116.6,C,Y,D,250,2003,146.6,4.1,0.96,45.2,5.645,,,
1278,Poland,SOWR47,PL47,12151,,plgda,Gdańsk,1,54.3843,18.4563,135.2,C,Y,S,250,2002,158,4.2,0.94,44.5,5.65,,,
453,Poland,SOWR48,PL48,12568,,plbrz,Brzuchania,1,50.3942,20.0797,388.5,C,Y,S,250,2002,453,4.2,0.94,45.5,5.66,,,
1409,Poland,SOWR49,PL49,12276,0-20000-0-12276,pluzr,Uzranki,1,53.8565,21.4121,202,C,Y,D,250,2023,237,4.1,0.96,45.2,5.645,,,
1215,Portugal,LPMG41,PO41,8550,0-620-3401-08550,ptlis,Coruche/Cruz do Leão,1,39.0714,-8.4001,173,C,Y,D,300,2023,193,4.1,0.97,45.2,5.64,,,
1216,Portugal,LPMG42,PO42,8553,0-620-3401-08553,ptfar,Loule/Cavalos do Caldeirão,1,37.3041,-7.953,587,C,Y,D,300,2023,616,4.1,0.96,45.2,5.63,,,
1368,Portugal,LPMG43,PO43,8556,0-620-3401-08556,ptprt,Arouca/Pico do Gralheiro,1,40.845,-8.2797,1047,C,Y,D,300,2015,1097,4.5,0.95,45,5.63,,,
1390,Portugal,LPMG44,PO44,8525,0-620-3401-08525,ptpst,Porto Santo/Pico do Espigão,0,33.0377,-16.38376,236,C,Y,D,300,2017,274.2,4.2,0.96,44.5,5.61,,,
1407,Portugal,LPMG45,PO45,8516,0-620-3401-08516,pttrc,Terceira/ Santa Barbara,1,38.7302,-27.32076,1016,C,Y,D,300,2020,1039,4.5,0.95,45,5.62,,,
1296,Romania,YRBK40,RDBU,15438,,robuc,Bucuresti,1,44.5114,26.0778,90,C,Y,S,240,2000,128,4.2,1,45.8,5.531,,,
1295,Romania,YRBK41,RDOD,15077,,roora,Oradea,1,47.0357,21.8987,136,S,Y,S,230,2003,172,8.5,0.99,45,2.965,,,
1297,Romania,YRBK43,RDCV,15451,,rocra,Craiova,1,44.311,23.868,196,C,Y,S,240,2000,216,4.2,1,45.5,5.637,,,
1294,Romania,YRBK44,RDTM,15256,,rotim,Timisoara,1,45.7714,21.2592,86,S,Y,S,230,2003,128,8.5,0.99,45,2.935,,,
1293,Romania,YRBK45,RDBB,15166,,robob,Bobohalma,1,46.3601,24.2256,523,S,Y,S,230,2003,559,8.5,0.99,45,2.945,,,
1291,Romania,YRBK46,RDIS,15093,,robar,Barnova,1,47.0122,27.5826,395,S,Y,S,230,2003,441,8.5,0.99,45,2.912,,,
1292,Romania,YRBK47,RDMD,15461,,romed,Medgidia,1,44.2426,28.2515,64,S,Y,S,230,2003,108,8.5,0.99,45,2.965,,,
1328,Serbia,LYBM41,RS41,13169,,rsfrg,Fruska gora,1,45.1573,19.8109,496,S,Y,D,400,2002,530,6.1,1.3,42.3,2.82,,,
1329,Serbia,LYBM42,RS42,13164,,rsbaj,Bajsa,0,45.7868,19.5935,107,S,Y,S,400,2001,132.1,6.1,1.3,42.3,2.78,,,
1330,Serbia,LYBM43,RS43,13176,,rssam,Samos,1,45.1876,20.7707,110,S,Y,S,400,2000,135.1,6.1,1.3,42.3,2.78,,,
1331,Serbia,LYBM44,RS44,13270,,rsval,Valjevo,0,44.3741,19.9181,378,S,N,S,250,1979,395,4,2,37,2.89,,,
1332,Serbia,LYBM45,RS45,13276,,rsbuk,Bukulja,0,44.2984,20.5284,692,S,N,S,250,1979,714,4,2,37,2.98,,,
1333,Serbia,LYBM46,RS46,13283,,rspet,Petrovac,0,44.3256,21.337,280,S,N,S,250,1982,297,4,2,37,2.92,,,
1334,Serbia,LYBM47,RS47,13289,,rscrn,Crni vrh,0,44.1299,21.9645,1034,S,N,S,250,1980,1051,4,2,37,2.83,,,
1335,Serbia,LYBM48,RS48,13368,,rsuzi,Uzice,0,43.8874,19.8403,827,S,N,S,250,1979,844,4,2,37,2.94,,,
1336,Serbia,LYBM49,RS49,13380,,rsbes,Besnjaja,0,43.9971,21.0478,552,S,N,S,250,1979,569,4,2,37,2.94,,,
1337,Serbia,LYBM50,RS50,13372,,rssje,Sjenica,0,43.2614,19.9733,1242,S,N,S,250,1984,1259,4,2,37,2.98,,,
1338,Serbia,LYBM51,RS51,13385,,rskru,Krusevac,0,43.6227,21.2527,404,S,N,S,250,1979,421,4,2,37,2.98,,,
1339,Serbia,LYBM52,RS52,13390,,rsnis,Nis,0,43.4041,21.9474,807,S,N,S,250,1982,824,4,2,37,2.83,,,
1340,Serbia,LYBM53,RS53,13490,,rskuk,Kukavica,0,42.7908,21.9467,1439,S,N,S,250,1985,1456,4,2,37,2.98,,,
1355,Serbia,LYBM56,RS56,13275,,rsbgl,Beograd-LAWR,0,44.7717,20.4243,201,X,N,S,60,2007,204,2.5,0.95,,9.41,,,
1354,Serbia,LYBM55,RS55,13275,,rsbgm,Beograd-MRL5,0,44.7719,20.4247,201,S,N,S,300,1983,234,4.5,1.5,40,2.95,,,
1384,Serbia,LYBM54,RS54,13386,,rsjas,Jastrebac,1,43.3913,21.4436,1483.4,S,Y,D,400,2013,1522,6.4,1.15,42.4,2.86,,,
1247,Slovakia,LZIB41,SQ41,11812,,skjav,Maly Javornik,1,48.2561,17.1531,585,C,Y,D,240,2015,600,4.3,0.95,45,5.605,,,
1248,Slovakia,LZIB51,SQ51,11958,,skkoj,Kojsovska hola,1,48.7829,20.9873,1240,C,Y,D,240,2015,1256,4.3,0.95,45,5.645,,,
1382,Slovakia,LZIB60,SQ60,11887,,skkub,Kubinska hola,1,49.2717,19.2494,1405,C,Y,D,240,2016,1425,4.3,0.95,45,5.63,,,
1383,Slovakia,LZIB70,SQ70,11923,,sklaz,Spani laz,1,48.2404,19.2574,619,C,Y,D,240,2016,661,4.3,0.95,45,5.615,,,
1204,Slovenia,LJLM41,LJ41,14024,,silis,Lisca,1,46.068,15.285,944,C,Y,S,250,2006,950,4.3,1.2,43,5.623,,,
1364,Slovenia,LJLM42,LJ42,,,sipas,Pasja ravan,1,46.098,14.2283,1020,C,Y,D,250,2014,1043,4.5,0.95,45,5.633,,,
1232,Spain,LEMM41,SP41,8072,,eslid,Autilla Pino (Palencia),1,41.9956,-4.6028,874,C,Y,S,240,1989,887,4.2,0.9,44.9,5.62,,,
1233,Spain,LEMM42,SP42,8228,,esmad,Torrejon de Velasco (Madrid),1,40.1758,-3.7136,704,C,Y,S,240,1989,717,4.2,0.9,44.9,5.62,,,
1234,Spain,LEMM43,SP43,8289,,esval,Cullera (Valencia),1,39.1761,-0.2521,234,C,Y,S,240,1998,247,4.2,0.9,44.9,5.62,,,
1235,Spain,LEMM44,SP44,8364,,esmur,Fortuna (Murcia),1,38.2644,-1.1897,1261,C,Y,S,240,1998,1274,4.2,0.9,44.9,5.62,,,
1236,Spain,LEMM45,SP45,8179,,esbar,Corbera (Barcelona),1,41.4081,1.8847,651,C,Y,S,240,1998,664,4.2,0.9,44.9,5.62,,,
1237,Spain,LEMM46,SP46,8007,,escor,Cerceda ( La Coruna),1,43.1689,-8.5269,591,C,Y,S,240,1991,612,4.2,0.9,44.9,5.62,,,
1238,Spain,LEMM47,SP47,8162,,eszar,Perdiguera (Zaragoza),1,41.7339,-0.5458,820,C,Y,S,240,1999,833,4.2,0.9,44.9,5.62,,,
1239,Spain,LEMM48,SP48,8019,,essan,Aguión (Asturias),1,43.4625,-6.3019,923,C,Y,S,240,1992,936,4.2,0.9,44.9,5.62,,,
1240,Spain,LEMM49,SP49,8081,,essse,Baquio (Vizcaya),1,43.4033,-2.8419,576,C,Y,S,240,1993,625,4.2,0.9,44.9,5.6,,,
